System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
AgCl-PbCl2,907,----,1.0-0.0,----,----,----,----,----,----,5.519,0.00094,----,----,----,0.3098,12196.56,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'Cl': 0.5, 'Pb': 0.0}"
AgClO3,908,----,Pure Salt,----,----,----,----,----,----,8.9502,0.01056,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'Cl': 0.2, 'O': 0.6}"
AgClO3-LiNO3,909,----,0.5-0.5,----,----,----,----,----,----,3.4849,0.0010703,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1, 'Cl': 0.1, 'O': 0.6, 'Li': 0.1, 'N': 0.1}"
AgI,910,----,Pure Salt,----,----,----,----,----,----,6.415,0.00101,----,----,----,0.1481,22004.02,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'I': 0.5}"
AgI-Ag2S,911,----,0.0-1.0,----,----,----,----,----,----,7.5329,0.0009132,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'I': 0.0, 'S': 0.3333333333333333}"
AgI-Ag2S,912,----,0.2-0.8,----,----,----,----,----,----,7.4651,0.0009646,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6428571428571428, 'I': 0.07142857142857142, 'S': 0.2857142857142857}"
AgI-Ag2S,913,----,0.35-0.65,----,----,----,----,----,----,7.5082,0.001169,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6226415094339622, 'I': 0.1320754716981132, 'S': 0.24528301886792456}"
AgI-Ag2S,914,----,0.5-0.5,----,----,----,----,----,----,6.7416,0.0006987,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6, 'I': 0.2, 'S': 0.2}"
AgI-Ag2S,915,----,0.6-0.4,----,----,----,----,----,----,6.7956,0.0008549,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5833333333333334, 'I': 0.25, 'S': 0.16666666666666669}"
AgI-Ag2S,916,----,0.7-0.3,----,----,----,----,----,----,6.7032,0.0009274,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5652173913043478, 'I': 0.30434782608695654, 'S': 0.13043478260869565}"
AgI-Ag2S,917,----,0.85-0.15,----,----,----,----,----,----,6.4086,0.0008018,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5348837209302325, 'I': 0.3953488372093023, 'S': 0.06976744186046512}"
AgI-Ag2S,918,----,1.0-0.0,----,----,----,----,----,----,6.4109,0.0010175,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'I': 0.5, 'S': 0.0}"
AgI-Ag2Te,919,----,0.0-1.0,----,----,----,----,----,----,8.4178,0.0008125,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6666666666666666, 'I': 0.0, 'Te': 0.3333333333333333}"
AgI-Ag2Te,920,----,0.2-0.8,----,----,----,----,----,----,7.8607,0.000693,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6428571428571428, 'I': 0.07142857142857142, 'Te': 0.2857142857142857}"
AgI-Ag2Te,921,----,0.4-0.6,----,----,----,----,----,----,7.4642,0.0007231,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6153846153846154, 'I': 0.15384615384615385, 'Te': 0.23076923076923075}"
AgI-Ag2Te,922,----,0.5-0.5,----,----,----,----,----,----,7.4962,0.0009192,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.6, 'I': 0.2, 'Te': 0.2}"
AgI-Ag2Te,923,----,0.7-0.3,----,----,----,----,----,----,7.0626,0.0008905,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5652173913043478, 'I': 0.30434782608695654, 'Te': 0.13043478260869565}"
AgI-Ag2Te,924,----,0.8-0.2,----,----,----,----,----,----,6.6858,0.0008173,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5454545454545455, 'I': 0.36363636363636365, 'Te': 0.09090909090909091}"
AgI-Ag2Te,925,----,0.9-0.1,----,----,----,----,----,----,6.6967,0.0010289,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5238095238095238, 'I': 0.42857142857142855, 'Te': 0.047619047619047616}"
AgI-Ag2Te,926,----,1.0-0.0,----,----,----,----,----,----,6.4109,0.0010175,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.5, 'I': 0.5, 'Te': 0.0}"
AgI-AgNO3,927,----,0.0-1.0,----,----,----,----,----,----,3.954,,----,----,----,4.56,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'I': 0.0, 'N': 0.2, 'O': 0.6}"
AgI-AgNO3,928,----,0.074-0.926,----,----,----,----,----,----,5.2239,0.0022402,----,----,----,0.600033,8848.05,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.20929259104227707, 'I': 0.015487651737128504, 'N': 0.19380493930514858, 'O': 0.5814148179154457}"
AgI-AgNO3,929,----,0.153-0.847,----,----,----,----,----,----,5.1927,0.0018038,----,----,----,0.295083,12130.04,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2202158114952654, 'I': 0.0336930191587756, 'N': 0.18652279233648977, 'O': 0.5595683770094694}"
AgI-AgNO3,930,----,0.194-0.806,----,----,----,----,----,----,5.5315,0.0023206,----,----,----,0.172414,14626.25,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.22634676324128564, 'I': 0.04391127206880942, 'N': 0.18243549117247623, 'O': 0.5473064735174287}"
AgI-AgNO3,931,----,0.207-0.793,----,----,----,----,----,----,,,----,----,----,0.139233,15530.85,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.22836263987211688, 'I': 0.047271066453528195, 'N': 0.1810915734185887, 'O': 0.5432747202557661}"
AgI-AgNO3,932,----,0.237-0.763,----,----,----,----,----,----,5.6361,0.0023322,----,----,----,0.080893,17558.87,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.23315458148752624, 'I': 0.05525763581254372, 'N': 0.17789694567498252, 'O': 0.5336908370249476}"
AgI-AgNO3,933,----,0.258-0.742,----,----,----,----,----,----,,,----,----,----,0.105335,16709.08,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.23663038334122102, 'I': 0.06105063890203502, 'N': 0.175579744439186, 'O': 0.526739233317558}"
AgI-AgNO3,934,----,0.28-0.72,----,----,----,----,----,----,5.688,0.0022441,----,----,----,0.167855,15068.09,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.24038461538461536, 'I': 0.06730769230769232, 'N': 0.17307692307692307, 'O': 0.5192307692307693}"
AgI-AgNO3,935,----,0.325-0.675,----,----,----,----,----,----,5.8212,0.0023362,----,----,----,0.126516,16590.26,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.24844720496894407, 'I': 0.08074534161490683, 'N': 0.16770186335403725, 'O': 0.5031055900621119}"
AgI-AgNO3,936,----,0.372-0.628,----,----,----,----,----,----,5.9339,0.0023797,----,----,----,0.157457,16184.4,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.25746652935118436, 'I': 0.09577754891864058, 'N': 0.16168898043254376, 'O': 0.4850669412976313}"
AgI-AgNO3,937,----,0.4-0.6,----,----,----,----,----,----,,,----,----,----,0.115231,17386.07,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2631578947368421, 'I': 0.10526315789473685, 'N': 0.15789473684210525, 'O': 0.47368421052631576}"
AgI-AgNO3,938,----,0.42-0.58,----,----,----,----,----,----,6.0287,0.0023878,----,----,----,0.100842,17895.27,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.26737967914438504, 'I': 0.11229946524064172, 'N': 0.15508021390374332, 'O': 0.4652406417112299}"
AgI-AgNO3,939,----,0.439-0.561,----,----,----,----,----,----,,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.27151778441487917, 'I': 0.11919630735813196, 'N': 0.15232147705674723, 'O': 0.4569644311702417}"
AgI-AgNO3,940,----,0.469-0.531,----,----,----,----,----,----,,,----,----,----,0.254856,14712.86,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.27831895352073477, 'I': 0.1305315892012246, 'N': 0.14778736431951017, 'O': 0.44336209295853046}"
AgI-AgNO3,941,----,0.47-0.53,----,----,----,----,----,----,6.0884,0.0023203,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2785515320334262, 'I': 0.1309192200557103, 'N': 0.1476323119777159, 'O': 0.44289693593314766}"
AgI-AgNO3,942,----,0.52-0.48,----,----,----,----,----,----,6.2888,0.0026041,----,----,----,0.0862559,19223.71,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.29069767441860467, 'I': 0.15116279069767444, 'N': 0.13953488372093023, 'O': 0.41860465116279066}"
AgI-HgI2,943,----,0.0-1.0,----,----,----,----,----,----,,,----,----,----,0.311216,9393.24,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0, 'I': 0.6666666666666666, 'Hg': 0.3333333333333333}"
AgI-HgI2,944,----,0.005-0.995,----,----,----,----,----,----,,,----,----,----,0.168166,12409.11,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0016694490818030053, 'I': 0.666110183639399, 'Hg': 0.33222036727879806}"
AgI-HgI2,945,----,0.018-0.982,----,----,----,----,----,----,,,----,----,----,0.166318,13001.58,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.006036217303822937, 'I': 0.6646545942320591, 'Hg': 0.32930918846411805}"
AgI-HgI2,946,----,0.035-0.965,----,----,----,----,----,----,,,----,----,----,0.173107,13234.63,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.011804384485666106, 'I': 0.6627318718381113, 'Hg': 0.3254637436762226}"
AgI-HgI2,947,----,0.059-0.941,----,----,----,----,----,----,,,----,----,----,0.117241,16004.49,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.020061203672220335, 'I': 0.6599795987759265, 'Hg': 0.3199591975518531}"
AgNO3,948,----,Pure Salt,----,----,----,----,----,----,4.503,0.001098,----,----,----,0.1159,15146.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'N': 0.2, 'O': 0.6}"
AgNO3-Ba(NO3)2,949,----,0.9744-0.0256,----,----,----,----,----,----,4.48596,0.0011427,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.19488, 'N': 0.2, 'O': 0.6, 'Ba': 0.00512}"
AgNO3-Ba(NO3)2,950,----,0.9848-0.0152,----,----,----,----,----,----,4.49724,0.0011378,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.19696, 'N': 0.2, 'O': 0.6, 'Ba': 0.00304}"
AgNO3-Ba(NO3)2,951,----,1.0-0.0,----,----,----,----,----,----,4.51914,0.0011415,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'N': 0.2, 'O': 0.6, 'Ba': 0.0}"
AgNO3-Ca(NO3)2,952,----,0.893-0.107,----,----,----,----,----,----,4.17118,0.00105217,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.17859999999999998, 'N': 0.19999999999999996, 'O': 0.6, 'Ca': 0.021399999999999995}"
AgNO3-Ca(NO3)2,953,----,0.9-0.1,----,----,----,----,----,----,4.19018,0.00105217,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.18, 'N': 0.2, 'O': 0.6, 'Ca': 0.02}"
AgNO3-Ca(NO3)2,954,----,0.91-0.09,----,----,----,----,----,----,4.22265,0.00106117,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.182, 'N': 0.2, 'O': 0.6, 'Ca': 0.018}"
AgNO3-Ca(NO3)2,955,----,0.92-0.08,----,----,----,----,----,----,4.25588,0.0010714,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.184, 'N': 0.2, 'O': 0.6, 'Ca': 0.016}"
AgNO3-Ca(NO3)2,956,----,0.93-0.07,----,----,----,----,----,----,4.28659,0.00107687,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.186, 'N': 0.2, 'O': 0.6, 'Ca': 0.014000000000000002}"
AgNO3-Ca(NO3)2,957,----,0.94-0.06,----,----,----,----,----,----,4.32044,0.00108834,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.188, 'N': 0.2, 'O': 0.6, 'Ca': 0.012}"
AgNO3-Ca(NO3)2,958,----,0.95-0.05,----,----,----,----,----,----,4.3522,0.00109593,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.19000000000000003, 'N': 0.20000000000000004, 'O': 0.6, 'Ca': 0.010000000000000002}"
AgNO3-Ca(NO3)2,959,----,0.96-0.04,----,----,----,----,----,----,4.38472,0.00110475,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.192, 'N': 0.2, 'O': 0.6, 'Ca': 0.008}"
AgNO3-Ca(NO3)2,960,----,0.97-0.03,----,----,----,----,----,----,4.41756,0.00111428,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.194, 'N': 0.2, 'O': 0.6, 'Ca': 0.006}"
AgNO3-Ca(NO3)2,961,----,0.98-0.02,----,----,----,----,----,----,4.44985,0.00112293,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.196, 'N': 0.2, 'O': 0.6, 'Ca': 0.004}"
AgNO3-Ca(NO3)2,962,----,0.99-0.01,----,----,----,----,----,----,4.48142,0.00113016,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.19800000000000004, 'N': 0.20000000000000004, 'O': 0.6, 'Ca': 0.0020000000000000005}"
AgNO3-Ca(NO3)2,963,----,1.0-0.0,----,----,----,----,----,----,4.51403,0.00113916,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'N': 0.2, 'O': 0.6, 'Ca': 0.0}"
AgNO3-Cd(NO3)2,964,----,0.4-0.6,----,----,----,----,----,----,4.04352,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.08, 'N': 0.2, 'O': 0.6, 'Cd': 0.12}"
AgNO3-Cd(NO3)2,965,----,0.5-0.5,----,----,----,----,----,----,4.11302,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1, 'N': 0.2, 'O': 0.6, 'Cd': 0.1}"
AgNO3-Cd(NO3)2,966,----,0.6-0.4,----,----,----,----,----,----,4.18407,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.12, 'N': 0.2, 'O': 0.6, 'Cd': 0.08}"
AgNO3-Cd(NO3)2,967,----,0.61-0.39,----,----,----,----,----,----,4.19126,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.122, 'N': 0.2, 'O': 0.6, 'Cd': 0.078}"
AgNO3-Cd(NO3)2,968,----,0.7-0.3,----,----,----,----,----,----,4.25666,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.14, 'N': 0.20000000000000004, 'O': 0.6, 'Cd': 0.06000000000000001}"
AgNO3-Cd(NO3)2,969,----,0.8-0.2,----,----,----,----,----,----,4.33081,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.15999999999999998, 'N': 0.19999999999999996, 'O': 0.6, 'Cd': 0.039999999999999994}"
AgNO3-Cd(NO3)2,970,----,0.9-0.1,----,----,----,----,----,----,4.4065,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.18, 'N': 0.2, 'O': 0.6, 'Cd': 0.02}"
AgNO3-Cd(NO3)2,971,----,1.0-0.0,----,----,----,----,----,----,4.48374,0.00110794,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'N': 0.2, 'O': 0.6, 'Cd': 0.0}"
AgNO3-CsNO3,972,----,0.0-1.0,----,----,----,----,----,----,3.6294,0.00118994,----,----,----,0.05236,22020.76,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0, 'N': 0.2, 'O': 0.6, 'Cs': 0.2}"
AgNO3-CsNO3,973,----,0.1-0.9,----,----,----,----,----,----,3.6936,0.00119089,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.02, 'N': 0.2, 'O': 0.6, 'Cs': 0.18}"
AgNO3-CsNO3,974,----,0.2-0.8,----,----,----,----,----,----,3.7596,0.00119184,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.039999999999999994, 'N': 0.19999999999999996, 'O': 0.6, 'Cs': 0.15999999999999998}"
AgNO3-CsNO3,975,----,0.25-0.75,----,----,----,----,----,----,,,----,----,----,0.08238,18351.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.05, 'N': 0.2, 'O': 0.6, 'Cs': 0.15}"
AgNO3-CsNO3,976,----,0.3-0.7,----,----,----,----,----,----,3.8291,0.00119279,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.06000000000000001, 'N': 0.20000000000000004, 'O': 0.6, 'Cs': 0.14}"
AgNO3-CsNO3,977,----,0.4-0.6,----,----,----,----,----,----,3.9039,0.00119374,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.08, 'N': 0.2, 'O': 0.6, 'Cs': 0.12}"
AgNO3-CsNO3,978,----,0.5-0.5,----,----,----,----,----,----,3.9856,0.00119469,----,----,----,0.09479,16744.65,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1, 'N': 0.2, 'O': 0.6, 'Cs': 0.1}"
AgNO3-CsNO3,979,----,0.6-0.4,----,----,----,----,----,----,4.0761,0.00119654,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.12, 'N': 0.2, 'O': 0.6, 'Cs': 0.08}"
AgNO3-CsNO3,980,----,0.675-0.325,----,----,----,----,----,----,4.1507,0.00119635,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.13499999999999998, 'N': 0.19999999999999996, 'O': 0.6, 'Cs': 0.06499999999999999}"
AgNO3-CsNO3,981,----,0.7-0.3,----,----,----,----,----,----,4.1771,0.00119659,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.14, 'N': 0.20000000000000004, 'O': 0.6, 'Cs': 0.06000000000000001}"
AgNO3-CsNO3,982,----,0.75-0.25,----,----,----,----,----,----,,,----,----,----,0.11851,15263.49,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.15, 'N': 0.2, 'O': 0.6, 'Cs': 0.05}"
AgNO3-CsNO3,983,----,0.8-0.2,----,----,----,----,----,----,4.2903,0.00119754,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.15999999999999998, 'N': 0.19999999999999996, 'O': 0.6, 'Cs': 0.039999999999999994}"
AgNO3-CsNO3,984,----,0.9-0.1,----,----,----,----,----,----,4.4175,0.00119849,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.18, 'N': 0.2, 'O': 0.6, 'Cs': 0.02}"
AgNO3-CsNO3,985,----,1.0-0.0,----,----,----,----,----,----,4.5605,0.00119945,----,----,----,0.14124,14301.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.2, 'N': 0.2, 'O': 0.6, 'Cs': 0.0}"
AgNO3-HgBr2,986,----,0.0019-0.9981,----,----,----,----,----,----,,,----,----,----,0.133357,12380.66,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0006325321259737666, 'N': 0.0006325321259737666, 'O': 0.0018975963779212998, 'Hg': 0.33227911312337705, 'Br': 0.6645582262467541}"
AgNO3-HgBr2,987,----,0.0101-0.9899,----,----,----,----,----,----,,,----,----,----,0.3663,7850.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0033441493940798623, 'N': 0.0033441493940798623, 'O': 0.010032448182239587, 'Hg': 0.3277597510098669, 'Br': 0.6555195020197337}"
AgNO3-HgBr2,988,----,0.0438-0.9562,----,----,----,----,----,----,,,----,----,----,0.120107,13311.62,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.014185775359502524, 'N': 0.014185775359502524, 'O': 0.042557326078507575, 'Hg': 0.30969037440082914, 'Br': 0.6193807488016583}"
AgNO3-HgBr2,989,----,0.0675-0.9325,----,----,----,----,----,----,,,----,----,----,0.0119272,23995.22,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0215311004784689, 'N': 0.0215311004784689, 'O': 0.0645933014354067, 'Hg': 0.2974481658692185, 'Br': 0.594896331738437}"
AgNO3-HgI2,990,----,0.3-0.7,----,----,----,----,----,----,6.2743,0.0016153,----,----,----,6.094e-05,41252.84,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.08333333333333334, 'N': 0.08333333333333334, 'O': 0.25, 'Hg': 0.19444444444444445, 'I': 0.3888888888888889}"
AgNO3-HgI2,991,----,0.325-0.675,----,----,----,----,----,----,,,----,----,----,7.362e-05,40552.84,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.08904109589041095, 'N': 0.08904109589041095, 'O': 0.2671232876712329, 'Hg': 0.18493150684931506, 'I': 0.3698630136986301}"
AgNO3-HgI2,992,----,0.35-0.65,----,----,----,----,----,----,6.1625,0.0014549,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.0945945945945946, 'N': 0.0945945945945946, 'O': 0.28378378378378377, 'Hg': 0.17567567567567569, 'I': 0.35135135135135137}"
AgNO3-HgI2,993,----,0.375-0.625,----,----,----,----,----,----,6.1413,0.0014434,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1, 'N': 0.1, 'O': 0.3, 'Hg': 0.16666666666666666, 'I': 0.3333333333333333}"
AgNO3-HgI2,994,----,0.4-0.6,----,----,----,----,----,----,6.1357,0.001463,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.10526315789473684, 'N': 0.10526315789473684, 'O': 0.31578947368421056, 'Hg': 0.15789473684210525, 'I': 0.3157894736842105}"
AgNO3-HgI2,995,----,0.425-0.575,----,----,----,----,----,----,6.1269,0.0014532,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.1103896103896104, 'N': 0.1103896103896104, 'O': 0.33116883116883117, 'Hg': 0.14935064935064934, 'I': 0.2987012987012987}"
AgNO3-HgI2,996,----,0.45-0.55,----,----,----,----,----,----,6.0709,0.0014002,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.11538461538461538, 'N': 0.11538461538461538, 'O': 0.34615384615384615, 'Hg': 0.14102564102564102, 'I': 0.28205128205128205}"
AgNO3-HgI2,997,----,0.475-0.525,----,----,----,----,----,----,6.0299,0.0013533,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.12025316455696203, 'N': 0.12025316455696203, 'O': 0.36075949367088606, 'Hg': 0.1329113924050633, 'I': 0.2658227848101266}"
AgNO3-HgI2,998,----,0.5-0.5,----,----,----,----,----,----,5.9756,0.0014503,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.125, 'N': 0.125, 'O': 0.375, 'Hg': 0.125, 'I': 0.25}"
AgNO3-HgI2,999,----,0.525-0.475,----,----,----,----,----,----,5.9126,0.0013627,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.12962962962962965, 'N': 0.12962962962962965, 'O': 0.38888888888888895, 'Hg': 0.11728395061728394, 'I': 0.2345679012345679}"
AgNO3-HgI2,1000,----,0.55-0.45,----,----,----,----,----,----,5.867,0.0013937,----,----,----,6.06e-05,41056.19,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.13414634146341461, 'N': 0.13414634146341461, 'O': 0.40243902439024387, 'Hg': 0.1097560975609756, 'I': 0.2195121951219512}"
AgNO3-HgI2,1001,----,0.6-0.4,----,----,----,----,----,----,5.751,0.0014339,----,----,----,7.443e-05,39634.86,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.14285714285714285, 'N': 0.14285714285714285, 'O': 0.4285714285714285, 'Hg': 0.09523809523809523, 'I': 0.19047619047619047}"
AgNO3-HgI2,1002,----,0.625-0.375,----,----,----,----,----,----,5.696,0.0013931,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.14705882352941177, 'N': 0.14705882352941177, 'O': 0.4411764705882353, 'Hg': 0.08823529411764706, 'I': 0.17647058823529413}"
AgNO3-HgI2,1003,----,0.65-0.35,----,----,----,----,----,----,,,----,----,----,0.00016009,37654.96,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Ag': 0.15116279069767444, 'N': 0.15116279069767444, 'O': 0.45348837209302334, 'Hg': 0.0813953488372093, 'I': 0.1627906976744186}"
