System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
LiCl-UCl3-UCl4,546,196.9363,0.5-0.4-0.1,890,5*,SALTDBLEAN-TC [156],----,----,----,4.44E+00,8.59E-04,905-1198,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,547,166.0278,0.6-0.32-0.08,822,5*,SALTDBLEAN-TC [156],----,----,----,4.39E+00,1.06E-03,823-1145,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,548,135.1194,0.7-0.24-0.06,784,5*,SALTDBLEAN-TC [156],----,----,----,4.05E+00,1.04E-03,774-1132,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,549,88.7567,0.85-0.12-0.03,824,5*,SALTDBLEAN-TC [156],----,----,----,3.27E+00,8.89E-04,840-1127,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-ThF4,550,47.9246,0.7011-0.2388-0.0601,781,----,SALTDBLEAN-TC [156],----,----,----,3.30E+00,6.71E-04,828.3-980.6,1,Cantor 1973 [29],6.60E-02,3.64E+04,----,----,----,799-926,15,Cantor 1973 [29],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-ThF4,551,63.5182,0.7006-0.1796-0.1198,821,----,SALTDBLEAN-TC [156],----,----,----,4.04E+00,8.06E-04,806.4-1014.4,1,Cantor 1973 [29],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-ThF4,552,71.4962,0.6998-0.1499-0.1503,832,----,SALTDBLEAN-TC [156],----,----,----,4.44,0.000953,816.6-1022.7,1,Cantor 1973 [29],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-ThF4,553,61.97,0.727-0.157-0.116,815,----,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,1.09E-01,3.40E+04,----,----,----,826-946,15,Cantor 1973 [29],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-ZrF4,554,39.6278,0.647-0.301-0.052,----,----,----,----,----,----,2.70E+00,5.77E-04,725.2-977.1,1,Cantor 1973 [29],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-NaF-BeF2,555,38.921,0.31-0.31-0.38,588,5*,Williams 2006 [148],----,----,----,2.38,0.000475,----,----,Shishido 2017 [127],0.0000338,4740,----,----,----,----,----,Cohen 1957 [42],----,----,----,----,----,----,----,----,----,----,----
LiF-NaF-KF,556,41.2911,0.465-0.115-0.42,735,2,Rogers 1982 [121],1843,----,Williams  2006 [149],2.68E+00,6.85E-04,743-1073,1,Gallagher 2021 [157],----,----,0.213,-1200,1350000,770-970,2,Toerklep 1980 [141],1.24,-0.000538,768-1007,15,Merritt 2022 [94],40.3,0.0439,----,----,2,Rogers 1982 [121]
LiF-BeF2-UF4,557,35.4936,0.80-0.18-0.02,977,----,Capeilli 2014 [164],----,----,----,2.50E+00,4.30E-04,973-1073,5,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,558,36.5471,0.75-0.23-0.02,902,----,Capeilli 2014 [164],----,----,----,2.52E+00,4.20E-04,873-1073,5,Blanke 1959 [18],1.99E-01,2.67E+04,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,559,37.6005,0.70-0.28-0.02,793,----,Capeilli 2014 [164],----,----,----,2.51E+00,4.40E-04,873-1073,5,Blanke 1959 [18],1.23E-01,2.98E+04,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,560,38.654,0.65-0.33-0.02,725,----,Capeilli 2014 [164],----,----,----,2.49E+00,4.15E-04,873-1073,5,Blanke 1959 [18],2.19E-01,2.98E+04,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,561,39.7075,0.60-0.38-0.02,708,----,Capeilli 2014 [164],----,----,----,2.47,0.00042,873-1073,5,Blanke 1959 [18],0.0485,39400,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,562,40.761,0.55-0.43-0.02,681,----,Capeilli 2014 [164],----,----,----,2.53,0.00048,873-1073,5,Blanke 1959 [18],0.0239,46900,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,563,41.8145,0.50-0.48-0.02,651,----,Capeilli 2014 [164],----,----,----,2.42,0.00039,873-1073,5,Blanke 1959 [18],0.0316,47800,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,564,40.8339,0.80-0.16-0.04,968,----,Capeilli 2014 [164],----,----,----,----,----,----,----,----,0.281,25800,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,565,41.8873,0.75-0.21-0.04,890,----,Capeilli 2014 [164],----,----,----,2.75,0.00047,873-1073,5,Blanke 1959 [18],0.165,29700,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,566,42.9408,0.70-0.26-0.04,777,----,Capeilli 2014 [164],----,----,----,2.76,0.000465,873-1073,5,Blanke 1959 [18],0.0814,34200,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,567,43.9943,0.65-0.31-0.04,719,----,Capeilli 2014 [164],----,----,----,2.71,0.000445,873-1073,5,Blanke 1959 [18],0.0319,41000,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,568,45.0478,0.60-0.36-0.04,703,----,Capeilli 2014 [164],----,----,----,2.66,0.00041,873-1073,5,Blanke 1959 [18],0.107,34900,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,569,46.1013,0.55-0.41-0.04,688,----,Capeilli 2014 [164],----,----,----,2.72,0.00046,873-1073,5,Blanke 1959 [18],0.0504,41300,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,570,47.1547,0.50-0.46-0.04,674,----,Capeilli 2014 [164],----,----,----,2.66,0.0004,873-1073,5,Blanke 1959 [18],0.0196,52400,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,571,48.2082,0.45-0.51-0.04,698,----,Capeilli 2014 [164],----,----,----,2.65,0.000395,873-1073,5,Blanke 1959 [18],0.0298,51400,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,572,49.2617,0.40-0.56-0.04,710,----,Capeilli 2014 [164],----,----,----,2.58,0.000375,873-1073,5,Blanke 1959 [18],0.00321,76800,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,573,50.3152,0.35-0.61-0.04,738,----,Capeilli 2014 [164],----,----,----,2.54,0.000335,873-1073,5,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,574,46.1741,0.80-0.14-0.06,959,----,Capeilli 2014 [164],----,----,----,2.97,0.00046,973-1073,5,Blanke 1959 [18],0.00431,60600,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,575,48.2811,0.70-0.24-0.06,761,----,Capeilli 2014 [164],----,----,----,3,0.00051,873-973,5,Blanke 1959 [18],0.0106,53000,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,576,50.388,0.60-0.34-0.06,718,----,Capeilli 2014 [164],----,----,----,----,----,----,----,----,0.0572,40400,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,577,52.495,0.50-0.44-0.06,737,----,Capeilli 2014 [164],----,----,----,3,0.000525,873-1073,5,Blanke 1959 [18],0.0299,48200,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,578,51.5144,0.80-0.12-0.08,950,----,Capeilli 2014 [164],----,----,----,3.3,0.0005,973-1073,5,Blanke 1959 [18],0.0032,62700,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,579,53.6214,0.70-0.22-0.08,746,----,Capeilli 2014 [164],----,----,----,3.26,0.0005,873-1073,5,Blanke 1959 [18],0.135,32300,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,580,55.7283,0.60-0.32-0.08,746,----,Capeilli 2014 [164],----,----,----,3.14,0.000495,873-1073,5,Blanke 1959 [18],0.0579,39700,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,581,57.8353,0.50-0.42-0.08,779,----,Capeilli 2014 [164],----,----,----,3.15,0.00049,873-1073,5,Blanke 1959 [18],0.0134,53500,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,582,58.6781,0.46-0.46-0.08,797,----,Capeilli 2014 [164],----,----,----,3.04,0.000405,873-1073,5,Blanke 1959 [18],0.00104,76600,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,583,59.9422,0.40-0.52-0.08,812,----,Capeilli 2014 [164],----,----,----,2.99,0.000385,873-1073,5,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,584,63.0377,0.76-0.12-0.12,860,----,Capeilli 2014 [164],----,----,----,3.71,0.0005,873-1073,5,Blanke 1959 [18],0.016,50000,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,585,64.3019,0.70-0.18-0.12,719,----,Capeilli 2014 [164],----,----,----,3.53,0.00037,873-1073,5,Blanke 1959 [18],0.0793,36600,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,586,66.4089,0.60-0.28-0.12,785,----,Capeilli 2014 [164],----,----,----,3.64,0.00052,873-1073,5,Blanke 1959 [18],0.0447,42700,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,587,68.5158,0.50-0.38-0.12,835,----,Capeilli 2014 [164],----,----,----,3.5,0.00046,873-1073,5,Blanke 1959 [18],0.00869,57700,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,588,85.663,0.70-0.10-0.20,768,----,Capeilli 2014 [164],----,----,----,4.21,0.000415,873-1073,5,Blanke 1959 [18],0.0181,53600,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,589,87.7699,0.60-0.20-0.20,829,----,Capeilli 2014 [164],----,----,----,4.08,0.000415,873-1073,5,Blanke 1959 [18],0.0195,47500,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,590,89.8769,0.50-0.30-0.20,899,----,Capeilli 2014 [164],----,----,----,4.04,0.000405,873-1073,5,Blanke 1959 [18],0.00829,57200,----,----,----,873-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,591,91.9839,0.40-0.40-0.20,927,----,Capeilli 2014 [164],----,----,----,3.86,0.00028,973-1073,5,Blanke 1959 [18],0.012,59400,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,592,127.822,0.60-0.05-0.35,872,----,Capeilli 2014 [164],----,----,----,5.37,0.00058,973-1073,5,Blanke 1959 [18],0.0297,49400,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,593,129.9289,0.50-0.15-0.35,956,----,Capeilli 2014 [164],----,----,----,5,0.00051,973-1073,5,Blanke 1959 [18],0.0154,55900,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,594,132.0359,0.40-0.25-0.35,999,----,Capeilli 2014 [164],----,----,----,5.09,0.00056,973-1073,5,Blanke 1959 [18],0.00398,70000,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-BeF2-UF4,595,161.9706,0.50-0.03-0.47,987,----,Capeilli 2014 [164],----,----,----,----,----,----,----,----,0.124,39600,----,----,----,973-1073,15*,Blanke 1959 [18],----,----,----,----,----,----,----,----,----,----,----
LiF-ThF4-UF4,596,89.5629,0.775-0.1995-0.0255,----,----,----,----,----,----,5.1651,0.000924,873-1023,5,Park 2023a [165],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,597,238.0774,0.15-0.21-0.64,1008,5*,SALTDBLEAN-TC [156],----,----,----,4.5132,0.000721,1038-1220,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,598,207.2654,0.3-0.17-0.53,941,5*,SALTDBLEAN-TC [156],----,----,----,4.1485,0.000719,991-1175,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,599,173.4334,0.45-0.14-0.41,837,5*,SALTDBLEAN-TC [156],----,----,----,3.7207,0.000678,915-1037,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,600,142.6214,0.6-0.1-0.3,778,5*,SALTDBLEAN-TC [156],----,----,----,3.4612,0.000803,911-1064,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,601,111.8094,0.75-0.06-0.19,943,5*,SALTDBLEAN-TC [156],----,----,----,3.0048,0.000704,1002-1252,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,602,77.9775,0.9-0.03-0.07,1041,5*,SALTDBLEAN-TC [156],----,----,----,2.5705,0.000627,1083-1252,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,603,171.2148,0.15-0.43-0.42,899,5*,SALTDBLEAN-TC [156],----,----,----,4.1172,0.000731,979-1166,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,604,152.9065,0.3-0.35-0.35,829,5*,SALTDBLEAN-TC [156],----,----,----,3.5206,0.00052,995-1153,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,605,134.5982,0.44-0.28-0.28,728,5*,SALTDBLEAN-TC [156],----,----,----,3.2354,0.000526,808-944,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,606,112.422,0.6-0.2-0.2,860,5*,SALTDBLEAN-TC [156],----,----,----,2.9017,0.000496,957-1076,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,607,90.2459,0.75-0.13-0.12,981,5*,SALTDBLEAN-TC [156],----,----,----,2.5322,0.000448,1026-1211,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,608,71.9376,0.9-0.05-0.05,1043,5*,SALTDBLEAN-TC [156],----,----,----,2.1709,0.000378,1057-1234,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,609,108.22,0.15-0.64-0.21,747,5*,SALTDBLEAN-TC [156],----,----,----,3.0159,0.000384,1095-1217,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,610,98.5476,0.3-0.53-0.17,746,5*,SALTDBLEAN-TC [156],----,----,----,2.8949,0.000475,927-1070,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,611,91.8951,0.45-0.41-0.14,830,5*,SALTDBLEAN-TC [156],----,----,----,2.7987,0.000609,948-1154,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,612,82.2227,0.6-0.3-0.1,921,5*,SALTDBLEAN-TC [156],----,----,----,2.4786,0.00043,935-1184,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,613,72.5502,0.75-0.19-0.06,993,5*,SALTDBLEAN-TC [156],----,----,----,2.3136,0.000498,1103-1283,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl3,614,62.4538,0.91-0.07-0.02,1049,5*,SALTDBLEAN-TC [156],----,----,----,2.0934,0.000459,1074-1195,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,615,115.6652,0.15-0.64-0.21,818,5*,SALTDBLEAN-TC [156],----,----,----,3.2385,0.000786,879-1025,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,616,104.5746,0.3-0.53-0.17,808,5*,SALTDBLEAN-TC [156],----,----,----,2.975,0.000613,865-1005,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,617,96.8585,0.45-0.41-0.14,792,5*,SALTDBLEAN-TC [156],----,----,----,2.8503,0.00062,884-1051,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,618,85.768,0.6-0.3-0.1,893,5*,SALTDBLEAN-TC [156],----,----,----,2.6562,0.000565,912-1066,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,619,74.6774,0.75-0.19-0.06,981,5*,SALTDBLEAN-TC [156],----,----,----,2.3359,0.000437,985-1135,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,620,67.2248,0.88-0.09-0.03,1037,5*,SALTDBLEAN-TC [156],----,----,----,2.2985,0.000569,1091-1208,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,621,186.1051,0.15-0.43-0.42,827,5*,SALTDBLEAN-TC [156],----,----,----,3.8061,0.000963,888-1031,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,622,165.315,0.3-0.35-0.35,788,5*,SALTDBLEAN-TC [156],----,----,----,3.4705,0.00077,862-1017,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,623,144.525,0.45-0.28-0.27,759,5*,SALTDBLEAN-TC [156],----,----,----,3.1172,0.000569,865-1023,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,624,119.5126,0.6-0.2-0.2,822,5*,SALTDBLEAN-TC [156],----,----,----,3.1849,0.000782,933-1083,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,625,94.5003,0.75-0.12-0.13,959,5*,SALTDBLEAN-TC [156],----,----,----,2.9366,0.000769,994-1083,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,626,73.7102,0.9-0.05-0.05,1038,5*,SALTDBLEAN-TC [156],----,----,----,2.5383,0.000703,1051-1175,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,627,260.7673,0.15-0.21-0.64,795,5*,SALTDBLEAN-TC [156],----,----,----,3.8859,0.000875,875-1030,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,628,226.0555,0.3-0.17-0.53,767,5*,SALTDBLEAN-TC [156],----,----,----,3.6231,0.000695,845-1020,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,629,187.9692,0.45-0.14-0.41,728,5*,SALTDBLEAN-TC [156],----,----,----,3.5502,0.000768,817-1020,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,630,153.2573,0.6-0.1-0.3,707,5*,SALTDBLEAN-TC [156],----,----,----,3.213,0.000614,848-1024,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,631,118.5455,0.75-0.06-0.19,918,5*,SALTDBLEAN-TC [156],----,----,----,3.0177,0.000691,869-1111,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-LiCl-UCl4,632,80.4592,0.9-0.03-0.07,1034,5*,SALTDBLEAN-TC [156],----,----,----,2.5956,0.000645,1051-1155,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,633,308.9413,0.15-0.64-0.21,1036,5*,SALTDBLEAN-TC [156],----,----,----,6.3104,0.001985,1055-1136,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,634,264.6314,0.3-0.53-0.17,998,5*,SALTDBLEAN-TC [156],----,----,----,5.3876,0.001384,1034-1125,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,635,220.676,0.45-0.41-0.14,946,5*,SALTDBLEAN-TC [156],----,----,----,4.6172,0.000996,957-1077,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,636,176.3661,0.6-0.3-0.1,885,5*,SALTDBLEAN-TC [156],----,----,----,4.0392,0.000867,860-1008,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,637,132.0562,0.75-0.19-0.06,853,5*,SALTDBLEAN-TC [156],----,----,----,3.3352,0.000642,937-1042,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,638,88.1009,0.9-0.07-0.03,1030,5*,SALTDBLEAN-TC [156],----,----,----,2.677,0.000568,1062-1165,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,639,301.3801,0.2-0.4-0.4,991,5*,SALTDBLEAN-TC [156],----,----,----,5.8288,0.002019,975-1073,5,Katyshev 2001 [166],----,----,-1.2811,1907,0,1018-1133,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,640,259.4505,0.35-0.33-0.32,992,5*,SALTDBLEAN-TC [156],----,----,----,4.8451,0.001283,938-1029,5,Katyshev 2001 [166],----,----,-1.0468,1537,0,951-1132,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,641,210.2786,0.5-0.25-0.25,977,5*,SALTDBLEAN-TC [156],----,----,----,4.2536,0.000997,885-1019,5,Katyshev 2001 [166],----,----,-1.082,1539,0,904-1139,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,642,161.1067,0.65-0.17-0.18,872,5*,SALTDBLEAN-TC [156],----,----,----,3.7195,0.000832,911-1031,5,Katyshev 2001 [166],----,----,-1.1611,1535,0,898-1147,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,643,119.1771,0.8-0.1-0.1,933,5*,SALTDBLEAN-TC [156],----,----,----,3.3402,0.000869,963-1080,5,Katyshev 2001 [166],----,----,-1.138,1452,0,1002-1188,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,644,307.0526,0.2-0.24-0.56,944,5*,SALTDBLEAN-TC [156],----,----,----,5.3995,0.001865,934-1018,5,Katyshev 2001 [166],----,----,-1.5062,2057,0,990-1132,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,645,275.9763,0.3-0.21-0.49,978,5*,SALTDBLEAN-TC [156],----,----,----,4.936,0.001528,934-1020,5,Katyshev 2001 [166],----,----,-1.297,1730,0,983-1131,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,646,232.9831,0.44-0.17-0.39,1005,5*,SALTDBLEAN-TC [156],----,----,----,4.2368,0.001026,939-1029,5,Katyshev 2001 [166],----,----,-1.1637,1528,0,966-1132,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,647,182.7477,0.6-0.12-0.28,951,5*,SALTDBLEAN-TC [156],----,----,----,3.8237,0.000877,872-1037,5,Katyshev 2001 [166],----,----,-1.042,1406,0,912-1141,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,648,120.5952,0.8-0.06-0.14,934,5*,SALTDBLEAN-TC [156],----,----,----,3.2382,0.000801,985-1119,5,Katyshev 2001 [166],----,----,-0.9907,1292,0,1041-1192,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3-UCl4,649,311.3069,0.2-0.12-0.68,840,5*,SALTDBLEAN-TC [156],----,----,----,4.9478,0.001662,859-950,5,Katyshev 2001 [166],----,----,-1.125,1589,0,907-1078,15,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
